Dataset,N,m,RMSE,Type
energy,200,0.75,0.1690922975540161,cmll
energy,200,0.75,0.17669610679149628,cmll
energy,200,0.75,0.19987177848815918,cmll
energy,200,0.75,0.23725110292434692,cmll
energy,200,0.75,0.20248837769031525,cmll
energy,600,0.0,0.08514170348644257,mll
energy,600,0.0,0.19559542834758759,mll
energy,600,0.0,0.08015299588441849,mll
energy,600,0.0,0.1787840574979782,mll
energy,600,0.0,0.17602361738681793,mll
energy,600,0.0,0.12499447911977768,mll
energy,600,0.0,0.09215100109577179,mll
energy,600,0.0,0.0991085022687912,mll
energy,600,0.0,0.09058649837970734,mll
energy,600,0.0,0.09414052963256836,mll
boston,600,0.0,0.2300574630498886,mll
boston,600,0.0,0.24919959902763367,mll
boston,600,0.0,0.22005923092365265,mll
boston,600,0.0,0.23121394217014313,mll
boston,600,0.0,0.27565282583236694,mll
boston,600,0.0,0.22077037394046783,mll
boston,600,0.0,0.2370884120464325,mll
boston,600,0.0,0.34420105814933777,mll
boston,600,0.0,0.23995313048362732,mll
boston,600,0.0,0.26934170722961426,mll
boston,600,0.75,0.2537315785884857,cmll
boston,600,0.75,0.2982545495033264,cmll
boston,600,0.75,0.22783339023590088,cmll
boston,600,0.75,0.27951768040657043,cmll
boston,600,0.75,0.2752831280231476,cmll
boston,600,0.75,0.26638975739479065,cmll
boston,600,0.75,0.2524554431438446,cmll
boston,600,0.75,0.22283560037612915,cmll
boston,600,0.75,0.23866939544677734,cmll
boston,600,0.75,0.2614177167415619,cmll
boston,600,0.9,0.26379674673080444,cmll
boston,600,0.9,0.2471078783273697,cmll
boston,600,0.9,0.2955169677734375,cmll
boston,600,0.9,0.29185402393341064,cmll
boston,600,0.9,0.2809982895851135,cmll
boston,600,0.9,0.2730003297328949,cmll
boston,600,0.9,0.25651928782463074,cmll
boston,600,0.9,0.2890026867389679,cmll
boston,600,0.9,0.28019484877586365,cmll
boston,600,0.9,0.28452402353286743,cmll
winewhite,400,0.75,0.9315066337585449,cmll
winewhite,400,0.75,0.8610784411430359,cmll
winewhite,400,0.75,0.8134065270423889,cmll
winewhite,400,0.75,0.923264741897583,cmll
winewhite,400,0.75,0.8437491059303284,cmll
winewhite,400,0.75,0.9038190841674805,cmll
winewhite,400,0.75,0.8608198761940002,cmll
winewhite,400,0.75,0.8872923851013184,cmll
winewhite,400,0.75,0.9152989387512207,cmll
winewhite,400,0.75,0.9008514285087585,cmll
concrete,600,0.5,0.37486395239830017,cmll
concrete,600,0.5,0.37006378173828125,cmll
concrete,600,0.5,0.426056444644928,cmll
concrete,600,0.5,0.3971780240535736,cmll
concrete,600,0.5,0.44742482900619507,cmll
concrete,600,0.5,0.379258394241333,cmll
concrete,600,0.5,0.4077800214290619,cmll
concrete,600,0.5,0.37307900190353394,cmll
concrete,600,0.5,0.4036116302013397,cmll
concrete,600,0.5,0.4178808629512787,cmll
winewhite,400,0.0,1.045209527015686,mll
winewhite,400,0.0,1.088466763496399,mll
winewhite,400,0.0,1.0674341917037964,mll
winewhite,400,0.0,1.1271673440933228,mll
winewhite,400,0.0,1.026058554649353,mll
winewhite,400,0.0,0.9947351813316345,mll
winewhite,400,0.0,1.067039132118225,mll
winewhite,400,0.0,1.149603009223938,mll
winewhite,400,0.0,1.1353189945220947,mll
winewhite,400,0.0,1.1305145025253296,mll
concrete,400,0.5,0.4740952253341675,cmll
concrete,400,0.5,0.5054975152015686,cmll
concrete,400,0.5,0.45307010412216187,cmll
concrete,400,0.5,0.47592583298683167,cmll
concrete,400,0.5,0.4257568120956421,cmll
concrete,400,0.5,0.4449615776538849,cmll
concrete,400,0.5,0.4319748878479004,cmll
concrete,400,0.5,0.4724847972393036,cmll
concrete,400,0.5,0.4282236397266388,cmll
concrete,400,0.5,0.43783122301101685,cmll
boston,600,0.5,0.2706066071987152,cmll
boston,600,0.5,0.25147923827171326,cmll
boston,600,0.5,0.24732279777526855,cmll
boston,600,0.5,0.27189841866493225,cmll
boston,600,0.5,0.2618861794471741,cmll
